,unit,carriage,destination,origin,2019
48,MIO_TKM,HIRE,AT,BE,53.0
49,MIO_TKM,HIRE,AT,BG,126.0
50,MIO_TKM,HIRE,AT,CH,9.0
51,MIO_TKM,HIRE,AT,CY,0.0
52,MIO_TKM,HIRE,AT,CZ,454.0
53,MIO_TKM,HIRE,AT,DE,2050.0
54,MIO_TKM,HIRE,AT,DK,47.0
55,MIO_TKM,HIRE,AT,EE,11.0
56,MIO_TKM,HIRE,AT,EL,282.0
57,MIO_TKM,HIRE,AT,ES,459.0
59,MIO_TKM,HIRE,AT,FI,
60,MIO_TKM,HIRE,AT,FR,28.0
61,MIO_TKM,HIRE,AT,HR,172.0
62,MIO_TKM,HIRE,AT,HU,694.0
63,MIO_TKM,HIRE,AT,IE,
64,MIO_TKM,HIRE,AT,IT,294.0
65,MIO_TKM,HIRE,AT,LI,
66,MIO_TKM,HIRE,AT,LT,105.0
67,MIO_TKM,HIRE,AT,LU,5.0
68,MIO_TKM,HIRE,AT,LV,43.0
69,MIO_TKM,HIRE,AT,NL,99.0
70,MIO_TKM,HIRE,AT,NO,
71,MIO_TKM,HIRE,AT,PL,1203.0
72,MIO_TKM,HIRE,AT,PT,59.0
73,MIO_TKM,HIRE,AT,RO,404.0
74,MIO_TKM,HIRE,AT,SE,
75,MIO_TKM,HIRE,AT,SI,477.0
76,MIO_TKM,HIRE,AT,SK,701.0
77,MIO_TKM,HIRE,AT,UK,14.0
108,MIO_TKM,HIRE,BE,AT,55.0
109,MIO_TKM,HIRE,BE,BG,24.0
110,MIO_TKM,HIRE,BE,CH,22.0
111,MIO_TKM,HIRE,BE,CY,0.0
112,MIO_TKM,HIRE,BE,CZ,227.0
113,MIO_TKM,HIRE,BE,DE,1981.0
114,MIO_TKM,HIRE,BE,DK,2.0
115,MIO_TKM,HIRE,BE,EE,
116,MIO_TKM,HIRE,BE,EL,150.0
117,MIO_TKM,HIRE,BE,ES,1511.0
119,MIO_TKM,HIRE,BE,FI,
120,MIO_TKM,HIRE,BE,FR,1203.0
121,MIO_TKM,HIRE,BE,HR,96.0
122,MIO_TKM,HIRE,BE,HU,225.0
123,MIO_TKM,HIRE,BE,IE,11.0
124,MIO_TKM,HIRE,BE,IT,292.0
125,MIO_TKM,HIRE,BE,LI,
126,MIO_TKM,HIRE,BE,LT,88.0
127,MIO_TKM,HIRE,BE,LU,105.0
128,MIO_TKM,HIRE,BE,LV,169.0
129,MIO_TKM,HIRE,BE,NL,3092.0
130,MIO_TKM,HIRE,BE,NO,15.0
131,MIO_TKM,HIRE,BE,PL,2799.0
132,MIO_TKM,HIRE,BE,PT,212.0
